,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC105373186,4.7714370278990526,0.06084728086509678,0.09722325492450279,0.6258510982001867,0.5314126122874085,0.6809323039643289
PPP1R2C,0.1308607130849543,-0.04276917075792676,0.6301172669938079,-0.06787493852052628,0.9458851888970692,
LOC107985717,0.24211524964736172,-0.19332473472930742,0.43249546078030104,-0.4469982976943022,0.6548762890013884,
LOC105373188,0.10625587279059243,-0.05385697221064962,0.7888698213229689,-0.06827105151560893,0.9455698678911965,
PINCR,0.11061942803010996,-0.149017140284631,0.6558816599881043,-0.22720126110453173,0.820267247116931,
MAOA,10143.858054322503,-0.01762833554519904,0.03188295360579329,-0.5529078567550243,0.5803265072169901,0.720685114542624
MAOB,3460.662586493726,0.21171520461762047,0.03424402381287745,6.182544603242714,6.307648074739377e-10,1.4006018556318882e-08
NDP,3.593137713414098,0.32811850398922643,0.11089194551854548,2.95890294335536,0.0030873632140550468,0.012095146334004945
NDP-AS1,0.7310669617334797,0.14789064234089935,0.18008016214723988,0.8212489403467926,0.4115044849992302,0.5735698739675411
EFHC2,16.365682806240745,0.16250774967965556,0.07842049999634526,2.0722610757037905,0.038241100331166206,0.09651757309618793
FUNDC1,227.78798532413245,-0.07729322706629936,0.037581423279635394,-2.0566870629453513,0.039716337395849066,0.09938521360563451
DUSP21,0.08608833038341959,-0.17941918819858074,0.8548718120477358,-0.20987847028059692,0.8337625262170231,
LOC105373190,1.992090175307941,-0.28332961218237246,0.13216238354321894,-2.143799200547255,0.03204897943353874,0.08395312299335438
KDM6A,723.0417290705473,0.023703435444188594,0.034621615913970824,0.6846426666822206,0.49356943616416615,0.6485040116565937
DIPK2B,2209.1006827098827,-0.11500612824208176,0.04231513314501447,-2.717848667708415,0.006570788371300634,0.022857072961296812
LOC105373191,0.14773346216936595,-0.01240594403499896,0.5342603280686984,-0.023220784668487926,0.9814741593087415,
LINC01204,1.5205411583840502,0.1296884414799502,0.1547459911643716,0.8380730286072148,0.40198968975212535,0.5650620636576733
MFFP3,0.0,,,,,
MIR221,11.598606102296598,0.18279067956724054,0.07434608549457397,2.458645648271303,0.013946219413307226,0.04267809444371145
MIR222,0.6659857558883858,-0.11466196359191136,0.21155398945737083,-0.5419985880957178,0.5878194785306574,0.726959435619528
LINC02595,0.19239524584651824,0.0525061973092614,0.5942884625365162,0.08835136574106912,0.9295974145804351,
LINC01186,67.35268646989235,-0.5307036367327963,0.06231710816480276,-8.516178820899496,1.649041377223888e-17,1.2404829625402554e-15
KRBOX4,415.0810537955377,-0.022803752100529616,0.019640903149918867,-1.1610337837557034,0.2456281608559704,0.4006805923894636
ZNF674,136.87076159273812,-0.09355630654136096,0.026347346335237557,-3.550881570803074,0.00038394313989829833,0.0020373790371281306
